,Year,RC_ID,Region,GIS Code,Ramp,Begin Milepoint,End Milepoint,Roadway Begin Description,Roadway End Description,Municipality,Signing,Route Number,Road Name,AADT,Count Type
11192,2014,01_0001,11,10070602.0,N,0.0,0.07,NY/BRONX CO LINE,RT 87I MAJ DEGAN EXPY UNDER,NEW YORK CITY,INTERNY,95,,121092,FORECAST
11193,2014,01_0002,11,10070602.0,N,0.07,0.58,RT 87I MAJ DEGAN EXPY UNDER,MACOMBS RD OVER,NEW YORK CITY,INTERNY,95,,125581,FORECAST
11194,2014,01_0003,11,10070602.0,N,0.58,1.21,MACOMBS RD OVER,END 1/95I OLAP WEBSTER AVE,NEW YORK CITY,INTERNY,95,,162758,FORECAST
11195,2014,01_0004,11,10001102.0,N,1.21,2.71,END 1/95I OLAP WEBSTER AVE,E FORDHAM RD,NEW YORK CITY,US,1,WEBSTER AVE,16106,FORECAST
11196,2014,01_0005,11,10001102.0,N,2.71,3.83,E FORDHAM RD,RT 907H BRONX RIVER PKWY SOU,NEW YORK CITY,US,1,E FORDHAM RD,35426,FORECAST
11197,2014,01_0006,11,10001102.0,N,3.83,4.01,RT 907H BRONX RIVER PKWY SOU,PELHAM PKWY BOSTON POST RD R,NEW YORK CITY,US,1,E FORDHAM RD,47905,FORECAST
11198,2014,01_0007,11,10001102.0,N,4.01,5.44,PELHAM PKWY BOSTON POST RD R,GUN HILL RD,NEW YORK CITY,US,1,BOSTON RD,15079,FORECAST
11199,2014,01_0008,11,10001102.0,N,5.44,7.08,GUN HILL RD,RT 22 PROVOST AVE,NEW YORK CITY,US,1,BOSTON RD,21199,FORECAST
11200,2014,01_0009,11,10001102.0,N,7.08,7.62,RT 22 PROVOST AVE,BRONX/WEST CO LINE,NEW YORK CITY,US,1,BOSTON RD,23301,ACTUAL
11201,2014,01_0010,11,10051402.0,N,0.0,0.82,NY/BRONX CO LINE,VAN CORTLAND SOUTH,NEW YORK CITY,US,9,BROADWAY,14922,FORECAST
11202,2014,01_0011,11,10051402.0,N,0.82,1.78,VAN CORTLAND SOUTH,START 9/9A OLAP H.H. PKY,NEW YORK CITY,US,9,BROADWAY,15804,FORECAST
