Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.20,-.34,-.06,-.42,-.15,-.06,-1.06,-.61,-.21,-.23,-.07,-.02,-.08,.34
1881,-.12,-.20,-.03,-.32,-.01,-.06,-.80,-.47,-.14,-.03,.01,-.06,-.02,.32
1882,-.10,-.19,-.02,-.25,-.09,.03,-1.49,-.26,-.02,-.09,-.09,.03,.08,.36
1883,-.20,-.31,-.10,-.37,-.21,-.02,-.42,-.62,-.19,-.22,-.21,-.01,.00,.32
1884,-.28,-.43,-.13,-.58,-.17,-.12,-1.39,-.62,-.40,-.18,-.15,-.15,-.05,.35
1885,-.31,-.42,-.22,-.61,-.17,-.20,-1.24,-.70,-.41,-.10,-.24,-.27,-.07,.33
1886,-.31,-.39,-.22,-.49,-.24,-.20,-1.29,-.45,-.37,-.23,-.26,-.17,-.21,.23
1887,-.33,-.37,-.29,-.47,-.27,-.27,-1.62,-.55,-.19,-.21,-.33,-.24,-.29,.16
1888,-.20,-.23,-.17,-.43,.08,-.34,-1.47,-.47,-.21,.09,.07,-.29,-.38,.11
1889,-.11,-.16,-.06,-.26,.05,-.17,-.91,-.17,-.19,.01,.09,-.15,-.17,.14
1890,-.37,-.40,-.33,-.45,-.38,-.26,-1.37,-.44,-.28,-.32,-.44,-.15,-.40,-.01
1891,-.24,-.25,-.24,-.37,-.15,-.24,-1.36,-.24,-.25,-.05,-.26,-.20,-.27,.04
1892,-.27,-.32,-.22,-.33,-.30,-.16,-1.42,-.35,-.11,-.31,-.30,-.03,-.33,.00
1893,-.30,-.41,-.20,-.40,-.40,-.07,-.96,-.39,-.29,-.42,-.38,.04,-.21,-.03
1894,-.31,-.38,-.23,-.29,-.39,-.22,-1.40,-.20,-.08,-.52,-.25,-.14,-.31,-.17
1895,-.21,-.28,-.15,-.35,-.13,-.19,-.99,-.38,-.16,-.17,-.09,-.20,-.13,-.06
1896,-.15,-.22,-.08,-.35,.03,-.18,-1.32,-.36,-.10,.00,.06,-.15,-.21,-.02
1897,-.11,-.13,-.10,-.31,.16,-.28,-.85,-.31,-.17,.16,.16,-.20,-.37,-.01
1898,-.28,-.26,-.30,-.28,-.27,-.29,-1.30,-.02,-.19,-.23,-.31,-.26,-.30,.03
1899,-.16,-.17,-.16,-.19,-.13,-.18,-1.13,.04,-.10,-.12,-.13,-.13,-.22,.08
1900,-.09,-.05,-.14,-.14,.13,-.35,-.66,-.04,-.06,.10,.16,-.31,-.38,.07
1901,-.15,-.08,-.21,-.12,-.06,-.30,-.61,-.01,-.06,-.02,-.09,-.30,-.26,-.04
1902,-.28,-.32,-.24,-.52,-.06,-.34,-1.65,-.41,-.29,-.01,-.11,-.27,-.42,.01
1903,-.36,-.36,-.37,-.44,-.32,-.35,-.56,-.31,-.48,-.25,-.40,-.37,-.25,-.59
1904,-.45,-.46,-.44,-.49,-.46,-.40,-.42,-.54,-.47,-.42,-.51,-.36,-.39,-1.26
1905,-.28,-.28,-.28,-.39,-.12,-.38,-.30,-.17,-.56,-.11,-.14,-.37,-.34,-.38
1906,-.23,-.21,-.25,-.22,-.21,-.25,-.48,.01,-.32,-.18,-.24,-.23,-.22,-.66
1907,-.40,-.47,-.33,-.59,-.34,-.30,-.87,-.71,-.44,-.30,-.39,-.25,-.31,-1.19
1908,-.44,-.46,-.41,-.49,-.47,-.34,-.56,-.52,-.45,-.43,-.52,-.31,-.38,.65
1909,-.48,-.48,-.48,-.49,-.52,-.41,-.90,-.52,-.38,-.47,-.57,-.38,-.41,-.49
1910,-.43,-.43,-.43,-.39,-.53,-.33,-.82,-.15,-.42,-.50,-.57,-.32,-.32,.26
1911,-.45,-.41,-.48,-.40,-.46,-.48,-.44,-.38,-.41,-.42,-.49,-.43,-.54,.14
1912,-.35,-.46,-.23,-.59,-.20,-.31,-.71,-.72,-.47,-.27,-.13,-.37,-.13,-1.55
1913,-.34,-.42,-.26,-.43,-.30,-.32,-.75,-.29,-.44,-.41,-.19,-.29,-.31,-.93
1914,-.16,-.18,-.14,-.24,-.07,-.21,-.68,-.08,-.23,-.10,-.05,-.17,-.23,-.34
1915,-.11,-.09,-.12,-.18,.01,-.19,-.67,-.09,-.12,.04,-.03,-.11,-.23,-2.00
1916,-.34,-.37,-.33,-.31,-.45,-.23,-.46,-.45,-.19,-.44,-.45,-.23,-.17,-1.22
1917,-.40,-.52,-.29,-.42,-.61,-.11,-.73,-.40,-.36,-.68,-.53,-.18,.04,.19
1918,-.26,-.33,-.19,-.36,-.27,-.15,-1.31,-.15,-.23,-.30,-.24,-.08,-.23,-.14
1919,-.22,-.33,-.12,-.42,-.13,-.15,-.97,-.47,-.25,-.19,-.07,-.08,-.22,.27
1920,-.27,-.27,-.26,-.21,-.27,-.32,-.14,-.10,-.30,-.36,-.17,-.21,-.44,-.87
1921,-.21,-.09,-.33,.03,-.27,-.37,-.16,.22,-.04,-.26,-.28,-.26,-.50,-.70
1922,-.28,-.26,-.29,-.23,-.32,-.27,-.51,-.34,-.09,-.31,-.32,-.24,-.27,-.23
1923,-.24,-.19,-.29,-.12,-.30,-.29,.02,-.05,-.21,-.30,-.29,-.27,-.28,-.51
1924,-.28,-.16,-.40,-.12,-.25,-.49,.14,-.17,-.16,-.23,-.27,-.40,-.61,-.67
1925,-.20,-.09,-.31,-.02,-.21,-.37,-.28,.25,-.11,-.19,-.23,-.24,-.55,-.77
1926,-.09,.04,-.21,.04,.03,-.40,.38,.24,-.18,.04,.03,-.33,-.46,-.57
1927,-.21,-.11,-.30,-.12,-.14,-.38,-.17,-.14,-.09,-.09,-.19,-.32,-.41,-1.47
1928,-.21,-.08,-.34,-.05,-.14,-.47,.48,-.08,-.18,-.12,-.16,-.32,-.63,-2.23
1929,-.36,-.30,-.41,-.35,-.27,-.49,-.06,-.52,-.33,-.24,-.31,-.41,-.57,-1.15
1930,-.15,.01,-.29,.07,-.12,-.40,.32,.14,-.05,-.07,-.17,-.31,-.42,-2.55
1931,-.09,.05,-.22,.02,.05,-.39,.30,.06,-.10,.09,.00,-.41,-.31,-.44
1932,-.17,-.03,-.29,.04,-.16,-.38,.15,.29,-.15,-.14,-.18,-.24,-.57,-.99
1933,-.29,-.26,-.32,-.25,-.29,-.33,-.51,-.40,-.08,-.28,-.30,-.22,-.46,-1.12
1934,-.14,-.01,-.28,.17,-.27,-.29,.54,.39,-.08,-.27,-.27,-.22,-.34,-.48
1935,-.20,-.09,-.30,-.03,-.22,-.33,.10,.05,-.12,-.19,-.25,-.28,-.34,-1.57
1936,-.15,-.04,-.26,-.04,-.14,-.28,.08,.16,-.21,-.05,-.24,-.27,-.28,.08
1937,-.03,.11,-.17,.17,-.06,-.19,.93,.06,.02,.03,-.14,-.21,-.14,.56
1938,-.03,.12,-.20,.33,-.25,-.10,1.04,.43,.06,-.19,-.31,-.07,-.08,-.90
1939,-.03,.07,-.14,.22,-.17,-.10,.42,.32,.10,-.16,-.19,-.05,-.10,-1.73
1940,.08,.13,.03,.08,.19,-.08,.84,.02,-.10,.20,.18,.02,-.21,-.01
1941,.12,.16,.11,-.04,.39,-.07,-.25,-.11,.07,.45,.32,.03,-.19,-.44
1942,.09,.14,.05,.12,.14,.01,.27,-.01,.15,.16,.11,.09,-.06,-.87
1943,.13,.20,.05,.35,-.01,.08,1.10,.32,.16,-.03,.02,.14,.00,1.19
1944,.25,.26,.24,.37,.21,.18,.91,.49,.14,.11,.31,.33,-.01,-.18
1945,.11,.08,.16,.07,.21,.02,.33,-.02,.06,.10,.33,.14,-.05,-1.83
1946,-.04,.07,-.14,.07,-.01,-.18,-.24,.02,.20,.06,-.08,-.18,-.16,.10
1947,-.05,.03,-.13,.11,-.10,-.15,.83,-.16,.06,-.09,-.11,-.16,-.11,.07
1948,-.09,.00,-.18,.14,-.18,-.21,.07,.36,.03,-.22,-.15,-.19,-.16,-.92
1949,-.09,-.02,-.16,.12,-.18,-.18,.16,.17,.07,-.22,-.13,-.15,-.13,-1.28
1950,-.18,-.17,-.20,-.09,-.27,-.13,-.03,-.34,.04,-.28,-.27,-.05,-.21,-.70
1951,-.07,.05,-.18,.07,-.05,-.22,-.01,.03,.12,.02,-.13,-.20,-.21,-.18
1952,.01,.06,-.04,.09,.02,-.09,.12,-.07,.19,.01,.03,-.09,.00,-.40
1953,.08,.23,-.07,.34,.06,-.16,.82,.38,.16,.07,.05,-.09,-.13,-1.27
1954,-.12,-.04,-.21,.02,-.21,-.15,.53,-.20,-.01,-.14,-.28,-.16,-.04,-.76
1955,-.15,-.09,-.22,.03,-.32,-.09,-.40,-.07,.23,-.27,-.37,-.16,-.19,1.27
1956,-.20,-.25,-.16,-.24,-.32,.00,-.24,-.47,-.10,-.27,-.37,-.11,.00,.64
1957,.03,.04,.03,.02,.07,.00,.02,.22,-.11,.07,.08,-.08,-.09,.45
1958,.07,.17,-.03,.11,.20,-.15,-.10,.18,.13,.26,.14,-.09,-.07,-.56
1959,.03,.11,-.04,.14,.07,-.13,.44,.18,.03,.06,.08,-.04,-.15,-.36
1960,-.02,.08,-.12,.09,.02,-.19,.33,-.05,.10,.06,-.03,-.10,-.04,-.80
1961,.05,.08,.03,.18,-.03,.05,-.18,.37,.17,-.07,.00,.11,-.11,.14
1962,.03,.15,-.09,.28,-.04,-.12,.66,.33,.14,-.04,-.05,.06,-.09,-.81
1963,.06,.16,-.03,.18,.11,-.11,.03,.32,.13,.13,.09,-.11,-.20,.09
1964,-.20,-.20,-.20,-.24,-.14,-.25,-.66,-.22,-.11,-.14,-.13,-.30,-.09,-.39
1965,-.10,-.13,-.07,-.16,-.03,-.13,-.17,-.24,-.11,-.08,.01,-.21,.00,-.10
1966,-.05,.00,-.10,-.12,.08,-.16,-.67,-.16,.08,.17,-.01,-.24,-.17,.12
1967,-.02,.03,-.08,.13,-.13,-.02,.46,.27,-.06,-.11,-.16,-.07,-.07,.26
1968,-.07,-.06,-.09,-.09,-.06,-.08,-.20,-.02,-.08,-.01,-.11,-.12,.02,-.13
1969,.07,-.01,.15,-.26,.32,.05,.05,-.59,-.15,.35,.29,.02,.14,.00
1970,.02,-.04,.08,-.10,.06,.10,-.19,-.13,-.05,.06,.06,.09,.00,.35
1971,-.09,-.16,-.03,-.06,-.26,.10,-.07,.00,-.10,-.30,-.22,.04,.11,.32
1972,.01,-.18,.21,-.35,.16,.17,-.45,-.49,-.23,.06,.26,.14,.02,.60
1973,.15,.10,.20,.12,.17,.15,.18,.26,.02,.06,.28,.20,-.01,.34
1974,-.08,-.20,.04,-.18,-.20,.18,-.30,-.11,-.18,-.23,-.16,.21,-.06,.62
1975,-.02,-.05,.01,.11,-.22,.12,.17,.35,-.06,-.30,-.14,.13,.04,.26
1976,-.12,-.22,-.02,-.26,-.11,.02,-.07,-.33,-.28,-.14,-.07,.09,.10,-.39
1977,.18,.12,.25,.14,.16,.26,.20,.22,.06,.09,.23,.22,.37,.13
1978,.07,.02,.11,-.02,.09,.14,-.04,.00,-.03,.09,.08,.20,.16,-.12
1979,.17,.08,.26,-.03,.25,.25,-.58,.06,.09,.24,.27,.32,.38,-.24
1980,.27,.16,.38,.06,.29,.45,.33,.01,.02,.30,.28,.35,.37,.95
1981,.33,.39,.26,.51,.18,.34,1.33,.77,.08,.21,.15,.29,.37,.52
1982,.13,.05,.21,-.07,.26,.15,-.30,.07,-.08,.23,.29,.18,.30,-.23
1983,.30,.26,.35,.24,.43,.19,.31,.67,-.06,.29,.57,.20,.29,-.03
1984,.16,.04,.27,.02,.18,.25,.36,.07,-.12,.07,.29,.17,.24,.58
1985,.12,-.01,.24,-.04,.10,.29,.34,-.28,-.01,.03,.17,.29,.39,.08
1986,.19,.13,.25,.11,.23,.22,.08,.24,.03,.17,.29,.26,.26,-.03
1987,.33,.26,.41,.07,.59,.26,-.26,.13,.13,.56,.62,.33,.21,.09
1988,.40,.37,.44,.41,.38,.44,.81,.50,.22,.31,.44,.39,.18,1.14
1989,.29,.29,.28,.42,.16,.33,.42,.67,.27,.09,.22,.37,.25,.34
1990,.44,.51,.37,.61,.37,.36,.61,.84,.48,.36,.39,.38,.33,.35
1991,.42,.41,.44,.46,.38,.44,.78,.60,.28,.33,.44,.34,.35,1.02
1992,.23,.12,.33,.08,.29,.28,-.15,.37,-.03,.19,.40,.22,.34,.41
1993,.24,.19,.29,.14,.33,.23,.66,.23,-.09,.28,.37,.26,.35,-.15
1994,.32,.36,.27,.43,.31,.21,.38,.46,.43,.26,.36,.28,.26,-.13
1995,.45,.57,.33,.69,.43,.23,1.37,.94,.32,.39,.48,.33,.16,.06
1996,.35,.28,.41,.27,.33,.45,.86,.19,.13,.30,.36,.35,.31,1.09
1997,.48,.53,.43,.55,.52,.35,.80,.88,.26,.51,.53,.44,.38,-.01
1998,.63,.73,.54,.81,.71,.36,.99,.92,.68,.62,.80,.44,.32,.16
1999,.42,.51,.32,.73,.25,.32,.46,.83,.76,.18,.31,.51,.16,.02
2000,.42,.51,.33,.71,.27,.33,1.10,.76,.56,.22,.32,.47,.10,.34
2001,.54,.64,.44,.80,.43,.44,1.04,.81,.71,.41,.45,.58,.20,.43
2002,.63,.71,.55,.83,.60,.48,1.35,.97,.58,.54,.65,.49,.29,.86
2003,.62,.73,.51,.82,.63,.40,1.53,.94,.51,.59,.66,.47,.23,.53
2004,.54,.67,.42,.74,.56,.32,.62,.92,.67,.56,.56,.50,.21,-.08
2005,.69,.83,.54,.99,.64,.46,2.01,1.17,.55,.61,.66,.52,.21,.80
2006,.63,.79,.47,.95,.56,.40,1.66,1.06,.66,.55,.57,.54,.19,.33
2007,.66,.83,.48,1.08,.47,.48,1.92,1.30,.68,.45,.49,.54,.06,1.14
2008,.53,.65,.41,.87,.38,.39,1.39,1.03,.60,.33,.43,.55,.10,.45
2009,.64,.70,.58,.73,.68,.50,1.21,.59,.67,.66,.69,.61,.18,.80
2010,.71,.88,.55,.98,.68,.48,1.98,.86,.73,.72,.65,.66,.23,.35
2011,.60,.71,.49,.93,.37,.58,2.09,.91,.57,.39,.36,.68,.26,.91
2012,.63,.77,.49,.97,.52,.45,1.88,.91,.72,.47,.56,.60,.25,.32
2013,.66,.76,.55,.88,.58,.54,1.20,1.04,.68,.58,.57,.64,.30,.68
2014,.75,.91,.58,1.05,.67,.55,1.82,1.13,.75,.70,.63,.76,.23,.49
2015,.86,1.12,.61,1.26,.91,.41,1.71,1.46,.99,.93,.89,.75,.19,-.31
