"","","Population using improved drinking-water sources (%)","Population using improved drinking-water sources (%)","Population using improved drinking-water sources (%)","Population using improved sanitation facilities (%)","Population using improved sanitation facilities (%)","Population using improved sanitation facilities (%)"
"Country","Year"," Rural"," Urban"," Total"," Rural"," Urban"," Total"
"Afghanistan"," 2015","47.0","78.2","55.3","27.0","45.1","31.9"
"Afghanistan"," 2000","24.3","52.2","30.3","21.3","31.2","23.4"
"Albania"," 2015","95.2","94.9","95.1","90.2","95.5","93.2"
"Albania"," 2000","93.3","100.0","96.1","75.2","94.8","83.4"
"Albania"," 1990","","100.0","","68.7","94.5","78.1"
"Algeria"," 2015","81.8","84.3","83.6","82.2","89.8","87.6"
"Algeria"," 2000","84.0","93.2","89.5","72.3","91.2","83.6"
"Algeria"," 1990","85.0","97.4","91.5","67.7","91.8","80.3"
"Andorra"," 2015","100.0","100.0","100.0","100.0","100.0","100.0"
"Andorra"," 2000","100.0","100.0","100.0","100.0","100.0","100.0"
"Andorra"," 1990","100.0","100.0","100.0","100.0","100.0","100.0"
"Angola"," 2015","28.2","75.4","49.0","22.5","88.6","51.6"
"Angola"," 2000","38.7","60.3","45.7","12.5","73.0","32.1"
"Angola"," 1990","43.5","52.1","45.7","7.9","64.6","22.4"
"Antigua and Barbuda"," 2015","97.9","97.9","97.9","","",""
"Antigua and Barbuda"," 2000","97.7","97.7","97.7","84.6","84.6","84.6"
"Antigua and Barbuda"," 1990","97.4","97.4","97.4","74.7","74.7","74.7"
"Argentina"," 2015","100.0","99.0","99.1","98.3","96.2","96.4"
"Argentina"," 2000","81.3","98.1","96.3","81.9","92.5","91.4"
"Argentina"," 1990","68.8","97.5","93.8","69.9","90.1","87.4"
"Armenia"," 2015","100.0","100.0","100.0","78.2","96.2","89.5"
"Armenia"," 2000","81.7","98.5","92.6","78.3","95.4","89.3"
"Armenia"," 1990","","98.1","","","95.1",""
"Australia"," 2015","100.0","100.0","100.0","100.0","100.0","100.0"
"Australia"," 2000","100.0","100.0","100.0","100.0","100.0","100.0"
"Australia"," 1990","100.0","100.0","100.0","100.0","100.0","100.0"
"Austria"," 2015","100.0","100.0","100.0","100.0","100.0","100.0"
"Austria"," 2000","100.0","100.0","100.0","100.0","100.0","100.0"
"Austria"," 1990","100.0","100.0","100.0","100.0","100.0","100.0"
"Azerbaijan"," 2015","77.8","94.7","87.0","86.6","91.6","89.3"
"Azerbaijan"," 2000","59.0","88.3","74.1","53.5","77.0","65.6"
"Azerbaijan"," 1990","50.3","85.4","69.1","","",""
"Bahamas"," 2015","98.4","98.4","98.4","92.0","92.0","92.0"
"Bahamas"," 2000","96.6","96.6","96.6","88.6","88.6","88.6"
"Bahrain"," 2015","100.0","100.0","100.0","99.2","99.2","99.2"
"Bahrain"," 2000","98.9","98.9","98.9","99.1","99.1","99.1"
"Bahrain"," 1990","94.9","94.9","94.9","99.0","99.0","99.0"
"Bangladesh"," 2015","87.0","86.5","86.9","62.1","57.7","60.6"
"Bangladesh"," 2000","73.7","83.2","76.0","43.7","51.1","45.4"
"Bangladesh"," 1990","64.8","81.1","68.1","31.4","46.7","34.4"
"Barbados"," 2015","99.7","99.7","99.7","96.2","96.2","96.2"
"Barbados"," 2000","97.6","97.6","97.6","86.8","86.8","86.8"
"Barbados"," 1990","96.1","96.1","96.1","80.0","80.0","80.0"
"Belarus"," 2015","99.1","99.9","99.7","95.2","94.1","94.3"
"Belarus"," 2000","99.0","99.7","99.5","97.1","93.9","94.8"
"Belarus"," 1990","99.0","99.7","99.5","97.4","93.9","95.1"
"Belgium"," 2015","100.0","100.0","100.0","99.4","99.5","99.5"
"Belgium"," 2000","100.0","100.0","100.0","99.5","99.5","99.5"
"Belgium"," 1990","100.0","100.0","100.0","99.5","99.5","99.5"
"Belize"," 2015","100.0","98.9","99.5","88.2","93.5","90.5"
"Belize"," 2000","78.5","92.4","85.1","80.6","84.9","82.7"
"Belize"," 1990","59.8","87.4","72.9","74.8","77.2","75.9"
"Benin"," 2015","72.1","85.2","77.9","7.3","35.6","19.7"
"Benin"," 2000","58.5","78.0","66.0","3.6","25.3","11.9"
"Benin"," 1990","48.8","72.9","57.1","0.9","17.9","6.8"
"Bhutan"," 2015","100.0","100.0","100.0","33.1","77.9","50.4"
"Bhutan"," 2000","79.0","98.2","83.9","21.6","58.5","31.0"
"Bhutan"," 1990","67.0","97.2","72.0","13.9","44.5","18.9"
"Bolivia (Plurinational State of)"," 2015","75.6","96.7","90.0","27.5","60.8","50.3"
"Bolivia (Plurinational State of)"," 2000","55.1","93.1","78.6","17.9","49.9","37.7"
"Bolivia (Plurinational State of)"," 1990","40.4","90.5","68.2","11.1","42.2","28.4"
"Bosnia and Herzegovina"," 2015","100.0","99.7","99.9","92.0","98.9","94.8"
"Bosnia and Herzegovina"," 2000","96.2","99.4","97.5","92.7","98.4","94.9"
"Bosnia and Herzegovina"," 1990","95.7","99.3","97.1","","98.3",""
"Botswana"," 2015","92.3","99.2","96.2","43.1","78.5","63.4"
"Botswana"," 2000","89.2","99.5","94.7","31.7","69.2","51.6"
"Botswana"," 1990","86.9","99.7","92.2","22.9","62.0","39.3"
"Brazil"," 2015","87.0","100.0","98.1","51.5","88.0","82.8"
"Brazil"," 2000","75.7","97.6","93.5","39.6","82.8","74.7"
"Brazil"," 1990","67.7","95.8","88.5","31.0","79.1","66.6"
"Bulgaria"," 2015","99.0","99.6","99.4","83.7","86.8","86.0"
"Bulgaria"," 2000","99.4","99.9","99.7","83.3","86.7","85.6"
"Bulgaria"," 1990","99.8","100.0","99.9","82.7","86.7","85.3"
"Burkina Faso"," 2015","75.8","97.5","82.3","6.7","50.4","19.7"
"Burkina Faso"," 2000","54.5","84.6","59.9","3.9","46.8","11.6"
"Burkina Faso"," 1990","38.6","75.0","43.6","1.9","44.1","7.7"
"Burundi"," 2015","73.8","91.1","75.9","48.6","43.8","48.0"
"Burundi"," 2000","69.8","93.9","71.8","45.0","36.4","44.3"
"Burundi"," 1990","67.0","95.9","68.8","42.4","31.2","41.7"
"Côte d'Ivoire"," 2015","68.8","93.1","81.9","10.3","32.8","22.5"
"Côte d'Ivoire"," 2000","67.5","91.4","77.9","8.1","29.9","17.6"
"Côte d'Ivoire"," 1990","66.7","90.3","75.9","6.5","27.8","14.9"
"Cabo Verde"," 2015","87.3","94.0","91.7","54.3","81.6","72.2"
"Cabo Verde"," 2000","80.7","83.9","82.4","24.6","60.2","43.6"
"Cambodia"," 2015","69.1","100.0","75.5","30.5","88.1","42.4"
"Cambodia"," 2000","38.1","57.1","41.6","10.2","43.3","16.3"
"Cambodia"," 1990","21.5","33.8","23.4","0.0","18.9","2.9"
"Cameroon"," 2015","52.7","94.8","75.6","26.8","61.8","45.8"
"Cameroon"," 2000","41.9","85.5","61.7","26.7","60.7","42.2"
"Cameroon"," 1990","33.5","78.3","51.3","26.7","59.9","39.9"
"Canada"," 2015","99.0","100.0","99.8","99.0","100.0","99.8"
"Canada"," 2000","99.0","100.0","99.8","99.0","100.0","99.8"
"Canada"," 1990","99.0","100.0","99.8","99.0","100.0","99.8"
"Central African Republic"," 2015","54.4","89.6","68.5","7.2","43.6","21.8"
"Central African Republic"," 2000","49.6","83.8","62.5","9.8","29.4","17.2"
"Central African Republic"," 1990","46.4","80.0","58.8","11.6","19.9","14.6"
"Chad"," 2015","44.8","71.8","50.8","6.5","31.4","12.1"
"Chad"," 2000","40.7","59.6","44.7","5.3","25.7","9.7"
"Chad"," 1990","37.2","49.4","39.8","4.4","20.9","7.8"
"Chile"," 2015","93.3","99.7","99.0","90.9","100.0","99.1"
"Chile"," 2000","67.8","99.2","94.9","69.3","95.3","91.7"
"Chile"," 1990","48.2","98.9","90.4","52.6","91.3","84.8"
"China"," 2015","93.0","97.5","95.5","63.7","86.6","76.5"
"China"," 2000","70.8","97.2","80.3","49.6","75.3","58.8"
"China"," 1990","56.1","97.0","66.9","40.2","67.8","47.5"
"Colombia"," 2015","73.8","96.8","91.4","67.9","85.2","81.1"
"Colombia"," 2000","71.0","97.2","89.9","52.2","83.3","74.6"
"Colombia"," 1990","68.8","97.5","88.4","40.9","82.0","69.0"
"Comoros"," 2015","89.1","92.6","90.1","30.9","48.3","35.8"
"Comoros"," 2000","88.4","94.5","90.1","20.0","38.1","25.1"
"Comoros"," 1990","87.8","95.9","90.1","12.2","33.7","18.2"
"Congo"," 2015","40.0","95.8","76.5","5.6","20.0","15.0"
"Congo"," 2000","32.1","95.3","69.2","5.6","17.7","12.7"
"Congo"," 1990","","95.3","","","",""
"Cook Islands"," 2015","99.9","99.9","99.9","97.6","97.6","97.6"
"Cook Islands"," 2000","99.9","99.9","99.9","92.1","92.1","92.1"
"Cook Islands"," 1990","99.9","99.9","99.9","","",""
"Costa Rica"," 2015","91.9","99.6","97.8","92.3","95.2","94.5"
"Costa Rica"," 2000","88.8","99.4","95.1","86.8","94.6","91.4"
"Costa Rica"," 1990","86.5","99.2","92.9","82.6","94.1","88.4"
"Croatia"," 2015","99.7","99.6","99.6","95.8","97.8","97.0"
"Croatia"," 2000","96.3","99.8","98.3","96.2","98.2","97.3"
"Croatia"," 1990","96.3","99.8","98.2","96.2","98.2","97.3"
"Cuba"," 2015","89.8","96.4","94.9","89.1","94.4","93.2"
"Cuba"," 2000","77.3","94.9","90.6","77.4","89.8","86.7"
"Cuba"," 1990","","93.9","","68.5","86.2","81.5"
"Cyprus"," 2015","100.0","100.0","100.0","100.0","100.0","100.0"
"Cyprus"," 2000","100.0","100.0","100.0","100.0","100.0","100.0"
"Cyprus"," 1990","100.0","100.0","100.0","100.0","100.0","100.0"
"Czech Republic"," 2015","100.0","100.0","100.0","99.2","99.1","99.1"
"Czech Republic"," 2000","99.6","99.9","99.8","99.3","99.1","99.1"
"Czech Republic"," 1990","99.6","99.9","99.8","99.3","99.1","99.1"
"Democratic People's Republic of Korea"," 2015","99.4","99.9","99.7","72.5","87.9","81.9"
"Democratic People's Republic of Korea"," 2000","99.8","99.9","99.9","54.7","65.1","60.9"
"Democratic People's Republic of Korea"," 1990","100.0","99.9","100.0","","",""
"Democratic Republic of the Congo"," 2015","31.2","81.1","52.4","28.7","28.5","28.7"
"Democratic Republic of the Congo"," 2000","26.8","84.8","47.1","18.9","29.5","22.7"
"Democratic Republic of the Congo"," 1990","24.7","86.5","43.6","14.4","30.0","19.2"
"Denmark"," 2015","100.0","100.0","100.0","99.6","99.6","99.6"
"Denmark"," 2000","100.0","100.0","100.0","99.6","99.6","99.6"
"Denmark"," 1990","100.0","100.0","100.0","99.6","99.6","99.6"
"Djibouti"," 2015","64.7","97.4","90.0","5.1","59.8","47.4"
"Djibouti"," 2000","62.1","88.5","82.3","30.3","68.4","59.5"
"Djibouti"," 1990","60.7","83.6","78.1","44.0","73.1","66.1"
"Dominica"," 2015","","95.7","","","",""
"Dominica"," 2000","91.8","95.7","94.5","84.3","79.6","81.1"
"Dominica"," 1990","","95.7","","","",""
"Dominican Republic"," 2015","81.9","85.4","84.7","75.7","86.2","84.0"
"Dominican Republic"," 2000","78.2","92.2","86.8","67.2","83.9","77.5"
"Dominican Republic"," 1990","75.8","96.7","87.3","61.6","82.3","73.0"
"Ecuador"," 2015","75.5","93.4","86.9","80.7","87.0","84.7"
"Ecuador"," 2000","67.3","87.9","79.7","54.9","79.4","69.7"
"Ecuador"," 1990","61.4","83.9","73.8","36.5","73.7","57.0"
"Egypt"," 2015","99.0","100.0","99.4","93.1","96.8","94.7"
"Egypt"," 2000","94.1","98.1","95.9","76.7","94.5","84.3"
"Egypt"," 1990","90.9","96.7","93.4","59.1","92.0","73.4"
"El Salvador"," 2015","86.5","97.5","93.8","60.0","82.4","75.0"
"El Salvador"," 2000","65.0","93.3","81.6","42.4","76.3","62.4"
"El Salvador"," 1990","50.6","90.4","70.2","30.6","72.2","51.1"
"Equatorial Guinea"," 2015","31.5","72.5","47.9","71.0","79.9","74.5"
"Equatorial Guinea"," 2000","40.0","58.8","47.3","79.9","80.7","80.2"
"Eritrea"," 2015","53.3","73.2","57.8","7.3","44.5","15.7"
"Eritrea"," 2000","47.4","68.0","51.0","2.4","53.5","11.4"
"Eritrea"," 1990","43.9","65.0","47.3","0.0","58.8","9.3"
"Estonia"," 2015","99.0","100.0","99.6","96.6","97.5","97.2"
"Estonia"," 2000","97.3","99.7","99.0","95.8","97.5","97.0"
"Estonia"," 1990","97.1","99.7","99.0","95.7","97.4","97.0"
"Ethiopia"," 2015","48.6","93.1","57.3","28.2","27.2","28.0"
"Ethiopia"," 2000","18.9","87.0","28.9","6.1","22.8","8.6"
"Ethiopia"," 1990","3.0","83.8","13.2","0.0","20.5","2.6"
"Fiji"," 2015","91.2","99.5","95.7","88.4","93.4","91.1"
"Fiji"," 2000","85.2","96.6","90.7","61.3","89.1","74.6"
"Fiji"," 1990","80.2","94.0","86.0","36.6","85.2","56.8"
"Finland"," 2015","100.0","100.0","100.0","88.0","99.4","97.6"
"Finland"," 2000","100.0","100.0","100.0","88.1","99.4","97.4"
"Finland"," 1990","100.0","100.0","100.0","88.2","99.4","97.1"
"France"," 2015","100.0","100.0","100.0","98.9","98.6","98.7"
"France"," 2000","100.0","100.0","100.0","98.9","98.6","98.7"
"France"," 1990","100.0","100.0","100.0","98.9","98.6","98.7"
"Gabon"," 2015","66.7","97.2","93.2","31.5","43.4","41.9"
"Gabon"," 2000","40.7","94.5","83.8","34.8","39.8","38.8"
"Gambia"," 2015","84.4","94.2","90.2","55.0","61.5","58.9"
"Gambia"," 2000","76.3","89.6","82.7","59.7","59.8","59.7"
"Gambia"," 1990","69.6","85.7","75.8","","",""
"Georgia"," 2015","100.0","100.0","100.0","75.9","95.2","86.3"
"Georgia"," 2000","80.6","97.1","89.3","94.9","96.4","95.7"
"Georgia"," 1990","72.7","95.7","85.4","99.0","96.8","97.8"
"Germany"," 2015","100.0","100.0","100.0","99.0","99.3","99.2"
"Germany"," 2000","100.0","100.0","100.0","99.0","99.3","99.2"
"Germany"," 1990","100.0","100.0","100.0","98.9","99.3","99.2"
"Ghana"," 2015","84.0","92.6","88.7","8.6","20.2","14.9"
"Ghana"," 2000","57.1","87.6","70.5","5.9","15.9","10.3"
"Ghana"," 1990","39.1","84.2","55.5","3.8","12.6","7.0"
"Greece"," 2015","100.0","100.0","100.0","98.1","99.2","99.0"
"Greece"," 2000","96.3","99.8","98.8","90.0","97.6","95.5"
"Greece"," 1990","92.6","99.6","97.6","82.9","96.3","92.5"
"Grenada"," 2015","95.3","99.0","96.6","98.3","97.5","98.0"
"Grenada"," 2000","95.3","99.0","96.6","98.3","97.5","98.0"
"Grenada"," 1990","95.3","99.0","96.5","98.3","97.5","98.0"
"Guatemala"," 2015","86.8","98.4","92.8","49.3","77.5","63.9"
"Guatemala"," 2000","75.9","93.6","83.9","39.0","73.5","54.6"
"Guatemala"," 1990","67.5","89.8","76.7","31.1","70.4","47.2"
"Guinea"," 2015","67.4","92.7","76.8","11.8","34.1","20.1"
"Guinea"," 2000","50.9","89.0","62.7","7.7","24.5","12.9"
"Guinea"," 1990","39.1","86.4","52.4","4.7","17.6","8.3"
"Guinea-Bissau"," 2015","60.3","98.8","79.3","8.5","33.5","20.8"
"Guinea-Bissau"," 2000","43.2","67.4","52.1","4.0","26.9","12.4"
"Guinea-Bissau"," 1990","31.7","46.5","35.9","3.3","",""
"Guyana"," 2015","98.3","98.2","98.3","82.0","87.9","83.7"
"Guyana"," 2000","82.8","94.7","86.2","76.5","86.2","79.2"
"Guyana"," 1990","73.6","92.6","79.2","72.0","84.8","75.7"
"Haiti"," 2015","47.6","64.9","57.7","19.2","33.6","27.6"
"Haiti"," 2000","49.3","81.6","60.8","14.2","33.3","21.0"
"Haiti"," 1990","50.2","91.2","61.9","11.4","33.1","17.6"
"Honduras"," 2015","83.8","97.4","91.2","77.7","86.7","82.6"
"Honduras"," 2000","69.5","94.4","80.8","51.9","76.9","63.3"
"Honduras"," 1990","59.9","92.4","73.1","33.4","69.9","48.2"
"Hungary"," 2015","100.0","100.0","100.0","98.6","97.8","98.0"
"Hungary"," 2000","96.2","99.2","98.2","98.6","97.8","98.0"
"Hungary"," 1990","91.9","98.3","96.1","98.6","97.8","98.0"
"Iceland"," 2015","100.0","100.0","100.0","100.0","98.7","98.8"
"Iceland"," 2000","100.0","100.0","100.0","100.0","98.7","98.8"
"Iceland"," 1990","100.0","100.0","100.0","100.0","98.7","98.8"
"India"," 2015","92.6","97.1","94.1","28.5","62.6","39.6"
"India"," 2000","76.1","92.3","80.6","14.5","54.5","25.6"
"India"," 1990","64.2","88.9","70.5","5.6","49.3","16.8"
"Indonesia"," 2015","79.5","94.2","87.4","47.5","72.3","60.8"
"Indonesia"," 2000","68.2","91.3","77.9","33.6","65.8","47.1"
"Indonesia"," 1990","60.7","89.4","69.5","23.7","61.1","35.2"
"Iran (Islamic Republic of)"," 2015","92.1","97.7","96.2","82.3","92.8","90.0"
"Iran (Islamic Republic of)"," 2000","86.8","98.3","94.1","69.5","84.1","78.9"
"Iran (Islamic Republic of)"," 1990","83.9","98.6","92.2","62.4","78.4","71.4"
"Iraq"," 2015","70.1","93.8","86.6","83.8","86.4","85.6"
"Iraq"," 2000","48.9","94.8","80.4","57.5","83.6","75.3"
"Iraq"," 1990","39.1","95.3","78.3","","",""
"Ireland"," 2015","97.8","97.9","97.9","92.9","89.1","90.5"
"Ireland"," 2000","96.9","95.9","96.3","91.6","87.6","89.2"
"Ireland"," 1990","96.9","95.9","96.4","91.6","87.6","89.3"
"Israel"," 2015","100.0","100.0","100.0","100.0","100.0","100.0"
"Israel"," 2000","100.0","100.0","100.0","100.0","100.0","100.0"
